School,Room,Tag#,Type,Brand,Model Number,Serial Number,PO#,Vendor,Price,Funds,Purchase Date,Disposal Date
District Office,Technology,43006,Projector,Viewsonic,PJ759,QR3081255055,200234,PCS,746,General Purpose,,0000-00-00
District Office,Technology,42579,Server,Dell,Dual Core Xeon Proce,D6572G1,58923,Dell,4543.56,General Purpose,4/16/2008,0000-00-00
District Office,Technology,42578,Server,Dell,Dual Core Xeon Proce,C6572G1,58923,Dell,4543.56,General Purpose,4/16/2008,0000-00-00
District Office,Technology,44247,Document Camera,promethean,AV322,A03A09236,202637,PCS,599,Federal Preschool,2/19/2010,0000-00-00
District Office,Technology,44246,Document Camera,promethean,AV322,A03A09340,202637,PCS,599,Federal Preschool,2/19/2010,0000-00-00
District Office,Technology,40033,Monitor,Dell,Dell E173FPb,CN-0U4931-46633-596-0K1L,School PO,,,General Purpose,11/17/2005,0000-00-00
District Office,Technology,40108,Monitor,Acer,AL1716,ETL480B1335480014RH03,,,,,0000-00-00,0000-00-00
District Office,Technology,40132,Monitor,AOC,FT710 17inch,i9cg5ab777761,56658,PCS,120,General Purpose,3/1/2006,0000-00-00
District Office,Technology,30875,Monitor,Hansol,E15AL 15 Inch,A9817093848,,,,,0000-00-00,0000-00-00
District Office,Technology,41326,Monitor,Acer,AL1715b 17 inch,ETL210213553400B2BED6A,56239,PCS,220,General Purpose,9/29/2005,0000-00-00
District Office,Technology,40213,Monitor,Dell,E177FP 17 inch Flat,CN-0FJ181-64180-667-0AZC,57059,Dell,163,General Purpose,8/10/2006,0000-00-00
District Office,Technology,41323,Monitor,Acer,,ETL2102135553400B4AED6A,,,,,0000-00-00,0000-00-00
District Office,Technology,41322,Monitor,Dell,17 inch,CN-0FJ181-64180-667-1C2C,57059,Dell,163,General Purpose,8/10/2006,0000-00-00
District Office,Technology,41308,Monitor,Dell,,,,,,,0000-00-00,0000-00-00
District Office,Technology,41310,Monitor,Dell,,,,,,,0000-00-00,0000-00-00
District Office,Technology,41316,Monitor,Dell,E177FP 17 inch Flat,CN-0FJ181-64180-667-0GVC,57059,Dell,163,General Purpose,8/10/2006,0000-00-00
District Office,Technology,41303,Monitor,Samsung,750S,3882A431,,,,,0000-00-00,0000-00-00
District Office,Technology,40729,Projector,Viewsonic,PJ656,px1060952714,56726,PCS,881,General Purpose,4/24/2006,0000-00-00
