company_name,company_address,company_city,company_state,company_zip,company_contact,company_phone,company_fax
Lowe's,P. O. Box 530954,"Atlanta, ",GA,30353,,7318864541,9999999999
Dell,One Dell Way,Round Rock,TX,78682,Michael Dickenson,8889773355,8007278320
Wal-Mart,1601 W Reelfoot Av,Union City,TN,38261,,7318840114,9999999999
PCS,1720 Topside Rd,Louisville,TN,37777,Gary Rohrer,8652731960,8652731961
Shea PC,901 East Cliff Rd,Burnsville,MN,55337,Brady Groth,8882526100,651-209800
Flinn Scientific,PO Box 219,Batavia,IL,60510,,8004521261,8664521436
Pocket Nurse,P O Box 9358,Pittsburgh,PA,15225,,8002251600,8007630237
Caldwell's Office Outfitters,P O Box 99,Union City,TN,38281,,7315366464,7315366359
Napa,1425 Old Rives Rd.,Union City,TN,38261,,8855463,
Carolina Biological Supply,2700 York Road,Burlington,NC,27215,,8003345551,
CPRSaversandFirstAidSupply,7904EastChaparralRoad,Scottsdale,AZ,85250,,8004801277,4809462457
Union City Parts,Old Rives Rd,P.O. Box 664,TN,38281,Greg White,7318855463,7318855463
Arch Ford Educational Services,101 Bulldog Dr.,Plumerville,AR,72127,,8889777622,5013545059
Waggoner and Sons,1111 Fulton Rd,Mayfield,KY,42066,,2702474984,
Hills Hardware,PO Box 765,Union City,TN,38281,Bobby Hill,7318851510,7318859920
Tri State International Trucks,920 West Main St.,Union City,TN,38261,Sherry Nelson,7318859302,7318851081
Trenton Industrial Laundry,504 West Tenth Street,Trenton,TN,38382,,8007489257,7318553534
Rogers Oil Company,204 N. 4th Street,PO Box 416,TN,38281,Alan Rogers,7318851747,
Wenger,555 Park Drive,Owatonna,ME,55060,Melissa Bell,8007330393,5074554258
Wesco Distribution,Box 633718,Cincinnati,OH,45263,Keisha,7318848011,7318848012
Scripps National Spelling Bee,PO Box 711861,Cincinnati,OH,45271,Janice Liebenberg,5139773040,5139773803
Wilbooks,1311 West Chester Pike,West Chester,PA,19382,,6104368755,6104368755
Amro Music,2918 Poplar Avenue,Memphis,TN,38111,,9013238888,9013256407
Wenger Corporation,555 Park Drive PO Box 448,Owatonna,MN,55060,,8004936437,5074554258
Lakeshore Learning,2695 E. Dominquez St.,Carson,CA,90895,,8004215354,8005375403
Kidz Zone Play Systems,2441Old Fort Parkway,Murfreesboro,TN,37128,Kevin Green,8775975297,6158950280
Childcraft School Specialty,PO Box 3239,Lancaster,PA,17604,,8006315652,8885324453
Quill,PO Box 37600,Philadelphia,PA,19101,,8007891331,8007898955
BR Supply,120 Barham Road,Union City,TN,38261,,8851460,8851461
Watson's Roofing,4002 RJ Welch Road,Friendship,TN,38034,Gayle Watson,7316772441,7316772029
Fastenal,116 Regina Street,Martin,TN,38237,Greg,7315874950,7315874950
Marching Monk,PO Box 1842,Fort Mill,SC,29716,Bill,7315364688,7315360469
Music Zone Paducah,2825 Maryland St,Paducah,KY,42001,,2705540964,0000000000
Hazelden,PO Box 176,Center City,MN,55012,,8002577810,6512134411
Discount School Supply,PO Box 60000,San Francisco,CA,94160,,8006272829,8008793753
Learning House,226 S. First St.,Union City,TN,38261,Sheila,7318852113,7318852113
Office Services,227 S. Second St.,Union City,TN,38261,,8857121,7318856741
The Parent Institute,PO Box 7474,Fairfax Station,VA,22039,,8007565525,8002163667
Insight Systems Exchange,600 City Pk. West 5th floor,Orange,CA,92868,Shannon Charfauros,7149392888,7147513613
Reelfoot Metal,P. O. Box 255,Troy,TN,38260,,5360101,5365573
CCV Software,3324 Pennsylvania Ave.,Charleston,WV,25302,Pam McFarland,8008435576,8003214297
Davidson Titles,P.O Box 3538,Jackson ,TN,38303,Jeff Clark,8004333903,8007877935
Allied Equipment,1412 Stad Avenue,Union City,TN,38261,Joe Thomspon,8851315,8851316
G and C Company,PO Box 459,Atwood,TN,38220,,8002383836,7316627219
MPC Computers,PO Box 1880 Mail Drop Y40,North Sioux City,SD,57049,Nick McInerney,6052327735,6052328250
Grainger,1901 Nonconnah Blvd,Memphis,TN,38132,,9013969740,9013961617
First Choice Rentals,9818 Hwy 22,Dresden,TN,38225,,7313643443,7313643444
Cambridge Educational Services,"2860 S. River Rd., Ste. 400",Des Plaines,IL,60018,Carol Ford,6015177148,8472992930
Carson Dellosa ,PO Box 35665,Greensboro,NC,27425,,8003210943,3366320087
JC Educational,909 E. Wood St.,Paris,TN,38242,Dan Jackson,8008416571,8668611541
School Outfitters,PO Box 141231,Cincinnati,OH,45250,,8002602776,8666194313
Harry Wong Publications Inc.,943 North Shoreline Blvd.,Mountain View,CA,94043,,6509657896,6509657890
Heinemann,PO Box 6926,Portsmouth ,NH,03802,,8002255800,8772316980
Central States Bus Sales,303 Business Park Dr.,Lebanon,TN,37088,,6154665040,6154665045
Bound to Stay Bound,1880 West Morton Avenue,Jacksonville,IL,62650,,8006376586,8007472872
Tennessee Book Company,1550 Heil Quaker Blvd.,LaVergne,TN,37086,,8004560418,6152139545
Advantage Tractor and Equiment,1273 Broadway St.,South Fulton,TN,38257,,4798869,4798868
Decker Equipment,215 S. SHERMAN St.,Vassar,MI,48768,,8007624899,8007624894
Dyersburg Winnelson,1827 St John Avenue,Dyersburg,TN,38024,,7312853046,7312853047
A & J Salvage,1297 N Hwy 51 S,Union City,TN,38261,Jock Johnson,7318857900,7318857602
X-Stramers.com,14 Surrey Drive,Shelton,CT,06484,John Jaworski,8888431656,2039257699
Marco Products,P. O. Box 686,"Hatfield, ",PA,19440,,8004482197,2159569041
Really Good Stuff,P. O Box 734329,Chicago,IL,60673,,8778671920,2032681796
creative teaching press,PO BOX 2723,Huntington Beach,CA,92647,,8002878879,8002299929
Wacom,1311 SE Cardinal Court,Vancouver,WA,98683,,3608969833,3608969724
Music is Elementary,P. O. Box 24263,Cleveland,OH,44124,,8008887502,4404613631
JW Peppers,PO Box 850,Valley Forge,PA,19482,,8003456296,8002601482
Glencoe/McGraw Hill,PO Box 543,Blacklick,OH,43004,,8008481567,6148601877
"Holt, Rinehart, and Winston",6277 Sea Harbor Dr.,Orlando,FL,32821,,8002255425,8002695232
"MetalCraft, Inc",3360 9th St SW,Mason City,IA,50401,,8004375283,6414238898
Union City Forklift,1400 Harding Place,Union City,TN,38261,,7318856900,7318856901
